标识信息/账单明细ID,标识信息/订单号,身份信息/客户名称,身份信息/资源购买账号ID,身份信息/资源购买账号,身份信息/资源归属账号ID,身份信息/资源归属账号,账单信息/服务主体,账单信息/账单月份,账单信息/账单日期,账单信息/费用类型,账单信息/交易类型,账单信息/消费时间,账单信息/服务开始时间,账单信息/服务结束时间,产品信息/产品Code,产品信息/产品名称,产品信息/商品Code,产品信息/商品名称,产品信息/计费项Code,产品信息/计费项名称,产品信息/选型配置,产品信息/规格,资源信息/资源ID,资源信息/实例ID（出账粒度）,资源信息/资源名称,资源信息/地域Code,资源信息/地域,资源信息/可用区,时长信息/抵扣前时长,时长信息/抵扣时长,时长信息/时长,时长信息/时长单位,时长信息/时长详情,用量信息/抵扣前用量,用量信息/抵扣用量,用量信息/用量,用量信息/用量单位,用量信息/用量详情,定价信息/官网目录价,定价信息/价格单位,定价信息/目录价用量阶梯,定价信息/用量阶梯累计规则,定价信息/目录价转换信息,定价信息/目录价因子,定价信息/定价币种,费用信息/目录总价,费用信息/计费公式,费用信息/计费辅助信息,费用信息/计费过程,费用信息/计费规则说明,订阅抵扣信息/订阅抵扣目录总价,订阅抵扣信息/订阅抵扣后金额,订阅抵扣信息/订阅抵扣金额,订阅抵扣信息/订阅抵扣详情,优惠信息/优惠金额,优惠信息/优惠后金额,优惠信息/优惠详情,优惠券抵扣信息/优惠券抵扣金额,优惠券抵扣信息/优惠券抵扣详情,应付信息/应付金额（含税）
202605_0g00v1_031_274305db3245aeb448e4e7e8ee39fec5_01_00000004262442282144,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260513,免费额度,后付费,2026-05-13 18:46:00,2026-05-13 18:46:00,2026-05-13 18:47:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,;llm-a8knu8zo5mnb4832;happyhorse-1.0-i2v;1080P;bmp;0,,,,,0,0,,,,5,5,0,秒,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""秒"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""5"",""抵扣用量"":""5"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型Happy系列\"",\""免费额度类型\"":\""happyhorse-1.0-i2v\"",\""免费额度抵扣用量\"":\""5 second\"",\""免费额度总量\"":\""10 second\"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""viclau620\"",\""免费额度生效时间\"":\""2026-04-22 00:00:00\"",\""免费额度失效时间\"":\""2026-07-22 00:00:00\""}]""}",0,元/秒,,,,,CNY,0,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""0"",""quantity_factor"":""0""},""precision"":""10"",""round"":""4""}}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202605_0g00v1_031_a4f8ed476141826f22c75f47d8525784_01_00000004262694749288,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260513,免费额度,后付费,2026-05-13 20:04:00,2026-05-13 20:04:00,2026-05-13 20:05:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,;llm-a8knu8zo5mnb4832;happyhorse-1.0-t2v;720P;bmp;0,,,,,0,0,,,,5,5,0,秒,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""秒"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""5"",""抵扣用量"":""5"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型Happy系列\"",\""免费额度类型\"":\""happyhorse-1.0-t2v\"",\""免费额度抵扣用量\"":\""5 second\"",\""免费额度总量\"":\""10 second\"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""viclau620\"",\""免费额度生效时间\"":\""2026-04-22 00:00:00\"",\""免费额度失效时间\"":\""2026-07-22 00:00:00\""}]""}",0,元/秒,,,,,CNY,0,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""0"",""quantity_factor"":""0""},""precision"":""10"",""round"":""4""}}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202605_0g00v1_031_4e1e79e5f92e699491020399c7d8f00e_01_00000004262704717979,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260513,免费额度,后付费,2026-05-13 20:14:00,2026-05-13 20:14:00,2026-05-13 20:15:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,5056850;llm-a8knu8zo5mnb4832;happyhorse-1.0-i2v;1080P;;0,,,,,0,0,,,,5,5,0,秒,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""秒"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""5"",""抵扣用量"":""5"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型Happy系列\"",\""免费额度类型\"":\""happyhorse-1.0-i2v\"",\""免费额度抵扣用量\"":\""5 second\"",\""免费额度总量\"":\""10 second\"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""viclau620\"",\""免费额度生效时间\"":\""2026-04-22 00:00:00\"",\""免费额度失效时间\"":\""2026-07-22 00:00:00\""}]""}",0,元/秒,,,,,CNY,0,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""0"",""quantity_factor"":""0""},""precision"":""10"",""round"":""4""}}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202605_0g00v1_031_0bc03d86adb4e9012e9efb17dede833e_01_00000004262979505049,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260513,免费额度,后付费,2026-05-13 22:15:00,2026-05-13 22:15:00,2026-05-13 22:16:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,;llm-a8knu8zo5mnb4832;happyhorse-1.0-r2v;1080P;bmp;0,,,,,0,0,,,,5,5,0,秒,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""秒"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""5"",""抵扣用量"":""5"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型Happy系列\"",\""免费额度类型\"":\""happyhorse-1.0-r2v\"",\""免费额度抵扣用量\"":\""5 second\"",\""免费额度总量\"":\""10 second\"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""viclau620\"",\""免费额度生效时间\"":\""2026-04-26 00:00:00\"",\""免费额度失效时间\"":\""2026-07-26 00:00:00\""}]""}",0,元/秒,,,,,CNY,0,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""0"",""quantity_factor"":""0""},""precision"":""10"",""round"":""4""}}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202605_0g00v1_031_93263ecd35ed3bf759df95aa608ac955_01_00000004263085949779,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260513,免费额度,后付费,2026-05-13 23:03:00,2026-05-13 23:03:00,2026-05-13 23:04:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,5056850;llm-a8knu8zo5mnb4832;happyhorse-1.0-r2v;1080P;;0,,,,,0,0,,,,5,5,0,秒,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""秒"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""5"",""抵扣用量"":""5"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型Happy系列\"",\""免费额度类型\"":\""happyhorse-1.0-r2v\"",\""免费额度抵扣用量\"":\""5 second\"",\""免费额度总量\"":\""10 second\"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""viclau620\"",\""免费额度生效时间\"":\""2026-04-26 00:00:00\"",\""免费额度失效时间\"":\""2026-07-26 00:00:00\""}]""}",0,元/秒,,,,,CNY,0,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""0"",""quantity_factor"":""0""},""precision"":""10"",""round"":""4""}}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202605_0g00v1_031_829a0f41d1f6855f9f504e97b0e25029_01_00000004263277657225,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260514,免费额度,后付费,2026-05-14 00:51:00,2026-05-14 00:51:00,2026-05-14 00:52:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,5056850;llm-a8knu8zo5mnb4832;happyhorse-1.0-t2v;1080P;;0,,,,,0,0,,,,5,5,0,秒,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""秒"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""5"",""抵扣用量"":""5"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型Happy系列\"",\""免费额度类型\"":\""happyhorse-1.0-t2v\"",\""免费额度抵扣用量\"":\""5 second\"",\""免费额度总量\"":\""10 second\"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""viclau620\"",\""免费额度生效时间\"":\""2026-04-22 00:00:00\"",\""免费额度失效时间\"":\""2026-07-22 00:00:00\""}]""}",0,元/秒,,,,,CNY,0,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""0"",""quantity_factor"":""0""},""precision"":""10"",""round"":""4""}}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202605_0g00v1_031_4ad2299020910d0c079d585d98b64581_01_00000004269720789694,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260515,免费额度,后付费,2026-05-15 23:31:00,2026-05-15 23:31:00,2026-05-15 23:32:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,;llm-a8knu8zo5mnb4832;happyhorse-1.0-video-edit;720P;bmp;0,,,,,0,0,,,,10,10,0,秒,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""秒"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""10"",""抵扣用量"":""10"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型Happy系列\"",\""免费额度类型\"":\""happyhorse-1.0-video-edit\"",\""免费额度抵扣用量\"":\""10 second\"",\""免费额度总量\"":\""10 second\"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""viclau620\"",\""免费额度生效时间\"":\""2026-04-26 00:00:00\"",\""免费额度失效时间\"":\""2026-07-26 00:00:00\""}]""}",0,元/秒,,,,,CNY,0,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""0"",""quantity_factor"":""0""},""precision"":""10"",""round"":""4""}}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202605_0700v1_019_8e9edd3d7cc1933fc844ee429cec697a_01_00000004263121351847,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260513,云资源按量费用,后付费,2026-05-13 23:31:00,2026-05-13 23:31:00,2026-05-13 23:32:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,;llm-a8knu8zo5mnb4832;happyhorse-1.0-r2v;1080P;bmp;0,,,,,,,,,,5,0,5,秒,,1.6,元/秒,,,,"{""视频生成模型规格"":""happyhorse-1.0-r2v"",""服务区域"":""中国大陆"",""视频生成画幅规格"":""1080P""}",CNY,8,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""1.6"",""quantity_factor"":""5""},""precision"":""10"",""round"":""4""},""promotionInfo"":[{""promotionName"":""HappyHorse系列模型限时8折特惠。"",""promotionAmount"":1.6,""promotionType"":""discount"",""promotionContent"":""0.8"",""promotionSource"":""act"",""startTime"":1778428800000,""endTime"":1780243200000,""promotionPriority"":0,""isMultiUidAccumulate"":false}]}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,1.6,6.4,"[{""优惠名称"":""HappyHorse系列模型限时8折特惠。"",""优惠金额"":""1.6"",""优惠类型"":""折扣"",""优惠内容"":""8折"",""优惠来源"":""官网优惠"",""优惠开始时间"":""2026-05-11 00:00:00"",""优惠结束时间"":""2026-06-01 00:00:00"",""优惠顺序"":""0""}]",0,,6.4
202605_0700v1_019_0f9b92137948b39c64be0e7aaed7bedd_01_00000004263129700253,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260513,云资源按量费用,后付费,2026-05-13 23:32:00,2026-05-13 23:32:00,2026-05-13 23:33:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,5056850;llm-a8knu8zo5mnb4832;happyhorse-1.0-i2v;1080P;;0,,,,,,,,,,5,0,5,秒,,1.6,元/秒,,,,"{""视频生成模型规格"":""happyhorse-1.0-i2v"",""服务区域"":""中国大陆"",""视频生成画幅规格"":""1080P""}",CNY,8,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""1.6"",""quantity_factor"":""5""},""precision"":""10"",""round"":""4""},""promotionInfo"":[{""promotionName"":""HappyHorse系列模型限时8折特惠。"",""promotionAmount"":1.6,""promotionType"":""discount"",""promotionContent"":""0.8"",""promotionSource"":""act"",""startTime"":1778428800000,""endTime"":1780243200000,""promotionPriority"":0,""isMultiUidAccumulate"":false}]}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,1.6,6.4,"[{""优惠名称"":""HappyHorse系列模型限时8折特惠。"",""优惠金额"":""1.6"",""优惠类型"":""折扣"",""优惠内容"":""8折"",""优惠来源"":""官网优惠"",""优惠开始时间"":""2026-05-11 00:00:00"",""优惠结束时间"":""2026-06-01 00:00:00"",""优惠顺序"":""0""}]",0,,6.4
202605_0700v1_019_585e763283cc30c6dc8ecd5d340a82f0_01_00000004263133544817,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260513,云资源按量费用,后付费,2026-05-13 23:36:00,2026-05-13 23:36:00,2026-05-13 23:37:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,5056850;llm-a8knu8zo5mnb4832;happyhorse-1.0-r2v;1080P;;0,,,,,,,,,,5,0,5,秒,,1.6,元/秒,,,,"{""视频生成模型规格"":""happyhorse-1.0-r2v"",""服务区域"":""中国大陆"",""视频生成画幅规格"":""1080P""}",CNY,8,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""1.6"",""quantity_factor"":""5""},""precision"":""10"",""round"":""4""},""promotionInfo"":[{""promotionName"":""HappyHorse系列模型限时8折特惠。"",""promotionAmount"":1.6,""promotionType"":""discount"",""promotionContent"":""0.8"",""promotionSource"":""act"",""startTime"":1778428800000,""endTime"":1780243200000,""promotionPriority"":0,""isMultiUidAccumulate"":false}]}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,1.6,6.4,"[{""优惠名称"":""HappyHorse系列模型限时8折特惠。"",""优惠金额"":""1.6"",""优惠类型"":""折扣"",""优惠内容"":""8折"",""优惠来源"":""官网优惠"",""优惠开始时间"":""2026-05-11 00:00:00"",""优惠结束时间"":""2026-06-01 00:00:00"",""优惠顺序"":""0""}]",0,,6.4
202605_0700v1_019_ea6fb6afb3ecb1e97de1024036995adf_01_00000004264673520653,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260514,云资源按量费用,后付费,2026-05-14 10:08:00,2026-05-14 10:08:00,2026-05-14 10:09:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,5056850;llm-a8knu8zo5mnb4832;happyhorse-1.0-r2v;1080P;;0,,,,,,,,,,5,0,5,秒,,1.6,元/秒,,,,"{""视频生成模型规格"":""happyhorse-1.0-r2v"",""服务区域"":""中国大陆"",""视频生成画幅规格"":""1080P""}",CNY,8,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""1.6"",""quantity_factor"":""5""},""precision"":""10"",""round"":""4""},""promotionInfo"":[{""promotionName"":""HappyHorse系列模型限时8折特惠。"",""promotionAmount"":1.6,""promotionType"":""discount"",""promotionContent"":""0.8"",""promotionSource"":""act"",""startTime"":1778428800000,""endTime"":1780243200000,""promotionPriority"":0,""isMultiUidAccumulate"":false}]}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,1.6,6.4,"[{""优惠名称"":""HappyHorse系列模型限时8折特惠。"",""优惠金额"":""1.6"",""优惠类型"":""折扣"",""优惠内容"":""8折"",""优惠来源"":""官网优惠"",""优惠开始时间"":""2026-05-11 00:00:00"",""优惠结束时间"":""2026-06-01 00:00:00"",""优惠顺序"":""0""}]",0,,6.4
202605_0700v1_019_0c70d37393dbe629bbfc736098b73f44_01_00000004264852025516,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260514,云资源按量费用,后付费,2026-05-14 11:44:00,2026-05-14 11:44:00,2026-05-14 11:45:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,5056850;llm-a8knu8zo5mnb4832;happyhorse-1.0-i2v;1080P;;0,,,,,,,,,,5,0,5,秒,,1.6,元/秒,,,,"{""视频生成模型规格"":""happyhorse-1.0-i2v"",""服务区域"":""中国大陆"",""视频生成画幅规格"":""1080P""}",CNY,8,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""1.6"",""quantity_factor"":""5""},""precision"":""10"",""round"":""4""},""promotionInfo"":[{""promotionName"":""HappyHorse系列模型限时8折特惠。"",""promotionAmount"":1.6,""promotionType"":""discount"",""promotionContent"":""0.8"",""promotionSource"":""act"",""startTime"":1778428800000,""endTime"":1780243200000,""promotionPriority"":0,""isMultiUidAccumulate"":false}]}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,1.6,6.4,"[{""优惠名称"":""HappyHorse系列模型限时8折特惠。"",""优惠金额"":""1.6"",""优惠类型"":""折扣"",""优惠内容"":""8折"",""优惠来源"":""官网优惠"",""优惠开始时间"":""2026-05-11 00:00:00"",""优惠结束时间"":""2026-06-01 00:00:00"",""优惠顺序"":""0""}]",0,,6.4
202605_0700v1_019_0b0a6b7c5f83610706178c07d5468b4c_01_00000004267221152771,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260515,云资源按量费用,后付费,2026-05-15 04:07:00,2026-05-15 04:07:00,2026-05-15 04:08:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,5056850;llm-a8knu8zo5mnb4832;happyhorse-1.0-i2v;1080P;;0,,,,,,,,,,5,0,5,秒,,1.6,元/秒,,,,"{""视频生成模型规格"":""happyhorse-1.0-i2v"",""服务区域"":""中国大陆"",""视频生成画幅规格"":""1080P""}",CNY,8,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""1.6"",""quantity_factor"":""5""},""precision"":""10"",""round"":""4""},""promotionInfo"":[{""promotionName"":""HappyHorse系列模型限时8折特惠。"",""promotionAmount"":1.6,""promotionType"":""discount"",""promotionContent"":""0.8"",""promotionSource"":""act"",""startTime"":1778428800000,""endTime"":1780243200000,""promotionPriority"":0,""isMultiUidAccumulate"":false}]}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,1.6,6.4,"[{""优惠名称"":""HappyHorse系列模型限时8折特惠。"",""优惠金额"":""1.6"",""优惠类型"":""折扣"",""优惠内容"":""8折"",""优惠来源"":""官网优惠"",""优惠开始时间"":""2026-05-11 00:00:00"",""优惠结束时间"":""2026-06-01 00:00:00"",""优惠顺序"":""0""}]",0,,6.4
202605_0700v1_019_79f6b141bfdf0a15aa082f5abfe89ca5_01_00000004269720789695,,,1068915519298264,viclau620,1068915519298264,viclau620,通义云启（杭州）信息技术有限公司,202605,20260515,云资源按量费用,后付费,2026-05-15 23:31:00,2026-05-15 23:31:00,2026-05-15 23:32:00,sfm,大模型服务平台百炼,sfm_inferenceHH_public_cn,百炼大模型Happy系列,video_duration,视频生成模型用量,,,,;llm-a8knu8zo5mnb4832;happyhorse-1.0-video-edit;720P;bmp;0,,,,,,,,,,10.08,0,10.08,秒,,0.9,元/秒,,,,"{""视频生成模型规格"":""happyhorse-1.0-video-edit"",""服务区域"":""中国大陆"",""视频生成画幅规格"":""720P""}",CNY,9.072,官网目录价*用量,,"{""priceExpressInfo"":{""priceExpression"":""baseprice_factor*quantity_factor"",""priceExpressionFactorValueMap"":{""baseprice_factor"":""0.9"",""quantity_factor"":""10.08""},""precision"":""10"",""round"":""4""},""promotionInfo"":[{""promotionName"":""HappyHorse系列模型限时8折特惠。"",""promotionAmount"":1.8144,""promotionType"":""discount"",""promotionContent"":""0.8"",""promotionSource"":""act"",""startTime"":1778428800000,""endTime"":1780243200000,""promotionPriority"":0,""isMultiUidAccumulate"":false}]}",https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,1.8144,7.2576,"[{""优惠名称"":""HappyHorse系列模型限时8折特惠。"",""优惠金额"":""1.8144"",""优惠类型"":""折扣"",""优惠内容"":""8折"",""优惠来源"":""官网优惠"",""优惠开始时间"":""2026-05-11 00:00:00"",""优惠结束时间"":""2026-06-01 00:00:00"",""优惠顺序"":""0""}]",0,,7.2576
